id,text,gold_label,source
angry_04,我的同学一直呛我的饮食习惯，让我很火大。,生气,public/mapped
angry_05,有人在公交车上对老人家没礼貌。,生气,public/mapped
angry_06,有人在网上盗用我的照片。,生气,public/mapped
angry_07,有人在公共场所乱丢垃圾。,生气,public/mapped
angry_08,有人偷了我辛苦栽种的花。,生气,public/mapped
angry_09,今天有个人插我队，真的很不爽。,生气,public/mapped
angry_10,为什么那么多人都只会拖延，害我什么都做不了。,生气,public/mapped
angry_11,那个人竟然在我说话的时候打断我，真的很烦。,生气,public/mapped
angry_12,为什么每次都是我被骂？,生气,public/mapped
angry_13,我已经告诉他很多次了，他还是一直做错。,生气,public/mapped
angry_14,为什么每次都是我最后一个被通知。,生气,public/mapped
angry_15,有人总是打断我讲话。,生气,public/mapped
angry_16,我真的受够了他怎么敢提这种要求。,生气,public/mapped
angry_17,为什么我的意见总是被忽略？,生气,public/mapped
angry_18,开会的时候有人一直打断我的话，真的很不爽。,生气,public/mapped
angry_19,我跟主管反映问题，结果他完全不想理我。,生气,public/mapped
angry_20,室友半夜一直打游戏，我真的有点生气。,生气,self-built
