id,text,gold_label,source,baseline_reply,baseline_emotion_label,baseline_format_valid,baseline_route_usable,famlee_raw_output,famlee_emotion_label,famlee_semantic_summary,famlee_risk_level,famlee_recommended_skill,famlee_format_valid,famlee_route_usable
anxious_01,明天就要答辩了，我一直担心自己讲不好。,焦虑,self-built,我能感觉到你现在满是忐忑和焦虑呀，其实几乎所有人答辩前都会这么紧张的！你准备了这么久，对自己的内容肯定都摸得透透的了，今晚可以顺一遍讲稿理清思路，早点休息养足精神，明天正常发挥就很棒啦，你肯定没问题的，祝你明天答辩顺顺利利！,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""明天就要答辩了，我一直担心自己讲不好。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,明天就要答辩了，我一直担心自己讲不好。,low,cognitive_clarification,true,true
anxious_02,下周有三门考试，我越复习越觉得来不及。,焦虑,self-built,我能感觉到你现在特别焦虑着急，一下子要准备三门考试，越复习越容易越慌，太能理解这种感受了。其实你可以先停几分钟缓一缓，把三门课的核心考点按优先级排一排，先抓分值占比高、常考的内容，不用逼自己把所有知识点都面面俱到吃透，把任务拆分之后就没那么吓人啦，别太紧张呀。,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""下周有三门考试，我越复习越觉得来不及。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,下周有三门考试，我越复习越觉得来不及。,low,cognitive_clarification,true,true
anxious_03,导师突然让我汇报进度，我怕自己准备得不够。,焦虑,self-built,能感觉到你现在肯定特别慌，一下子被打个措手不及，整个人都紧张起来了对不对？其实很多时候我们都会下意识觉得自己准备得不够充分，这太常见啦。你这会儿可以先快速捋一捋目前已经完成的内容、碰到的问题还有接下来的计划，把脉络理清楚，哪怕不是特别完善，能讲清楚进展和思路就已经很棒啦，别太焦虑呀～,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""导师突然让我汇报进度，我怕自己准备得不够。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,导师突然让我汇报进度，我怕自己准备得不够。,low,cognitive_clarification,true,true
anxious_04,简历投出去一直没有回应，我担心自己找不到实习。,焦虑,self-built,我特别懂这种悬着心的不安感，投出去石沉大海真的很容易忍不住胡思乱想是不是？其实好多找实习的同学都会碰到这种情况呀，很多公司招人流程慢，HR筛简历也要花不少时间，不一定是你不够优秀哦。可以趁着等回应的间隙多投几家不同的岗位，也可以稍微微调下简历让它更贴合意向岗位，慢慢来，你肯定能找到合适的实习的，别太焦虑啦。,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""简历投出去一直没有回应，我担心自己找不到实习。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,简历投出去一直没有回应，我担心自己找不到实习。,low,cognitive_clarification,true,true
anxious_05,群消息一直没回，我害怕是不是自己说错话了。,焦虑,self-built,你现在肯定既忐忑不安又忍不住偷偷自我怀疑对不对？我太懂这种抓心挠肝的内耗感了！其实真的很少是你说错话的问题呀，群里消息刷得本来就快，很多人要么没刷到你的发言，要么当时忙着别的事顾不上回，转头就忘了，根本没人把这件事放在心上，别自己瞎猜折磨自己啦。,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""群消息一直没回，我害怕是不是自己说错话了。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,群消息一直没回，我害怕是不是自己说错话了。,low,cognitive_clarification,true,true
anxious_06,明天面试，我脑子里一直在想会不会答不上来。,焦虑,self-built,我能感觉到你现在特别紧张焦虑呀，其实面试前忍不住会胡思乱想太正常了，换做谁面对这种不确定的事都会心里打鼓的～你肯定已经提前做过不少准备对不对？就算真碰到一时答不上来的问题也没关系，如实表达就好，面试官也不会要求求职者什么都会的，放轻松一点，你肯定可以的✨,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""明天面试，我脑子里一直在想会不会答不上来。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,明天面试，我脑子里一直在想会不会答不上来。,low,cognitive_clarification,true,true
anxious_07,ddl 快到了，可我还没有写完，心里特别慌。,焦虑,self-built,"我太懂这种心慌到坐立难安的感觉了！看着ddl一天天逼近进度还没赶完，连玩都玩不踏实对吧😣

先别急着慌，停下来喘两口气，咱们把要写的内容拆成最小块的任务，先挑最核心、必须交的部分开始做，能完成一点是一点，总比陷在焦虑里耗时间强呀。加油挤一挤，肯定能赶完的！",焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""ddl 快到了，可我还没有写完，心里特别慌。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,ddl 快到了，可我还没有写完，心里特别慌。,low,cognitive_clarification,true,true
anxious_08,我最近总是失眠，一想到毕业去向就心慌。,焦虑,self-built,"我特别能懂这种悬着心的难受，毕业本来就是要跨进人生的新岔路口，到处都是不确定，会心慌焦虑太正常了，根本不是你矫情呀。

其实不用逼自己一口气就把未来定死，不然压力堆在心里当然睡不好了。要不要试着把“找毕业去向”这件大事拆成很小的步骤，一天只解决一件小事，剩下的时间就放心去歇着？如果躺着睡不着也别逼自己必须睡着，越逼自己反而越慌，不如起来看点没营养的轻松内容，等困意慢慢上来就好。心里憋得难受也多跟身边朋友家人唠唠，说出来都会舒展很多的。",焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""我最近总是失眠，一想到毕业去向就心慌。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,我最近总是失眠，一想到毕业去向就心慌。,low,cognitive_clarification,true,true
anxious_09,老师说要随机点名展示，我从早上就开始紧张。,焦虑,self-built,我太懂这种悬着一颗心的感觉了！等待点名的过程可比上台展示本身折磨人多了，从早担惊受怕到现在肯定超累吧😮‍💨其实说不定最后根本没点到你呢，就算真点到了，你提前心里都有准备了，肯定能发挥得不错的，别太慌呀~,,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""老师说要随机点名展示，我从早上就开始紧张。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,老师说要随机点名展示，我从早上就开始紧张。,low,cognitive_clarification,true,true
anxious_10,实习考核快到了，我担心自己表现不够好。,焦虑,self-built,我特别能理解这种忐忑的心情呀，快到考核的时候几乎每个人都会忍不住担心自己发挥不好，这太正常啦。其实你实习这段时间肯定都踏踏实实干了不少工作，积累的经验都不会骗人的，如果实在放心不下，可以抽点时间把这段时间做的工作梳理一遍，过一遍重点内容就好，相信你肯定可以的~,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""实习考核快到了，我担心自己表现不够好。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,实习考核快到了，我担心自己表现不够好。,low,cognitive_clarification,true,true
anxious_11,我怕这次挂科会影响保研，整个人都静不下来。,焦虑,self-built,我特别能理解你现在焦虑又慌乱的心情，保研这么重要的事，换成是谁碰到这种担忧都很难静下心来的。先别一下子就把结果往最坏想呀，很多时候考完感觉不好其实只是自己过度放大了不安，说不定实际结果比你预想的好很多。就算真的出了状况，其实也还有别的调整和补救的空间，别提前把自己压得喘不过气，试着先深呼吸缓一缓好不好？,焦虑,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""我怕这次挂科会影响保研，整个人都静不下来。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,我怕这次挂科会影响保研，整个人都静不下来。,low,cognitive_clarification,true,true
anxious_12,室友都找到方向了，我还没想清楚未来，压力很大。,焦虑,self-built,"我特别懂这种看着身边人都走上既定轨道，自己还卡在路口的慌乱，这种压力真的太熬人了，完全不是你矫情呀。

其实人生本来就不是齐步走的比赛呀，有人二十出头就早早定好一辈子的方向，有人晃到三十多才找到真正想走的路，你现在的迷茫不是落后，只是在慢慢摸索属于自己的答案而已。不用逼自己一定要跟上别人的进度，如果压力太大就先停下来喘口气，不用急着马上给出“未来是什么样”的答案，慢慢试慢慢找就好啦。",,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""室友都找到方向了，我还没想清楚未来，压力很大。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,室友都找到方向了，我还没想清楚未来，压力很大。,low,cognitive_clarification,true,true
anxious_13,项目代码一直跑不通，我担心明天验收出问题。,焦虑,self-built,太懂这种焦心的感觉了，代码跑不通还赶着第二天验收，换谁都会慌慌的呀😔。先别太急着给自己加压，你可以先顺着报错日志一步步捋，很多时候都是依赖版本不对、路径写错这类小问题卡住了流程。就算一时半会没找出来也别太慌，真到验收的时候诚恳说明目前卡住的地方和后续调整计划，一般也不会一棒子打死的，先放宽心慢慢排查呀。,,false,false,"{""emotion_label"":""焦虑"",""semantic_summary"":""项目代码一直跑不通，我担心明天验收出问题。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",焦虑,项目代码一直跑不通，我担心明天验收出问题。,low,cognitive_clarification,true,true
